ID,Target
0,24
1,26
2,23
3,6
4,28
5,17
6,30
7,23
8,12
9,19
10,26
11,10
12,28
13,15
14,17
15,27
16,12
17,20
18,17
19,12
20,22
21,6
22,3
23,1
24,0
25,27
26,13
27,2
28,1
29,2
30,29
31,4
32,14
33,10
34,10
35,17
36,2
37,24
38,24
39,28
40,3
41,21
42,23
43,22
44,1
45,19
46,18
47,28
48,24
49,15
50,29
51,29
52,10
53,19
54,1
55,4
56,19
57,25
58,12
59,0
60,8
61,12
62,26
63,1
64,15
65,20
66,22
67,25
68,19
69,18
70,6
71,4
72,0
73,19
74,1
75,17
76,14
77,9
78,11
79,4
80,4
81,23
82,25
83,22
84,18
85,17
86,28
87,2
88,16
89,14
90,1
91,22
92,11
93,22
94,19
95,10
96,13
97,8
98,27
99,15
100,4
101,3
102,23
103,1
104,18
105,6
106,12
107,18
108,22
109,23
110,11
111,22
112,2
113,1
114,3
115,9
116,18
117,13
118,9
119,3
120,0
121,6
122,11
123,1
124,1
125,21
126,5
127,2
128,7
129,16
130,3
131,26
132,0
133,19
134,24
135,19
136,6
137,22
138,19
139,0
140,13
141,2
142,6
143,19
144,23
145,10
146,24
147,25
148,1
149,2
150,25
151,16
152,19
153,18
154,10
155,13
156,4
157,1
158,24
159,21
160,0
161,19
162,5
163,4
164,16
165,10
166,27
167,30
168,11
169,0
170,6
171,25
172,2
173,14
174,13
175,19
176,2
177,21
178,10
179,30
180,7
181,23
182,20
183,30
184,20
185,19
186,27
187,13
188,12
189,23
190,1
191,5
192,23
193,29
194,1
195,21
196,23
197,12
198,17
199,24
200,3
201,19
202,2
203,7
204,6
205,27
206,15
207,9
208,7
209,6
210,17
211,26
212,16
213,29
214,24
215,11
216,25
217,29
218,4
219,14
220,18
221,25
222,12
223,21
224,4
225,12
226,11
227,26
228,17
229,25
230,26
231,12
232,16
233,17
234,22
235,15
236,28
237,12
238,17
239,9
240,6
241,22
242,7
243,4
244,21
245,19
246,23
247,4
248,5
249,12
250,17
251,26
252,18
253,19
254,26
255,11
256,4
257,16
258,9
259,29
260,13
261,7
262,27
263,0
264,24
265,19
266,8
267,15
268,8
269,0
270,21
271,6
272,26
273,4
274,21
275,1
276,10
277,15
278,13
279,18
280,7
281,9
282,13
283,14
284,12
285,27
286,4
287,19
288,26
289,0
290,29
291,0
292,24
293,6
294,12
295,13
296,5
297,1
298,5
299,9
300,23
301,26
302,12
303,23
304,12
305,11
306,17
307,28
308,13
309,15
310,6
311,23
312,13
313,19
314,8
315,29
316,0
317,23
318,12
319,3
320,1
321,26
322,4
323,7
324,29
325,13
326,26
327,10
328,26
329,28
330,12
331,24
332,12
333,19
334,5
335,5
336,22
337,21
338,7
339,6
340,12
341,21
342,8
343,6
344,5
345,23
346,6
347,24
348,12
349,4
350,25
351,8
352,11
353,25
354,22
355,25
356,19
357,0
358,29
359,19
360,26
361,20
362,14
363,23
364,18
365,3
366,2
367,9
368,10
369,3
370,16
371,10
372,13
373,0
374,6
375,28
376,8
377,21
378,10
379,10
380,12
381,22
382,3
383,0
384,15
385,2
386,0
387,2
388,23
389,10
390,17
391,26
392,23
393,17
394,19
395,11
396,15
397,24
398,29
399,26
400,2
401,24
402,8
403,14
404,7
405,28
406,17
407,19
408,19
409,3
410,21
411,7
412,13
413,9
414,9
415,10
416,12
417,0
418,15
419,13
420,18
421,3
422,1
423,19
424,5
425,27
426,3
427,15
428,5
429,16
430,26
431,18
432,2
433,28
434,17
435,14
436,23
